user_input,retrieved_contexts,response,reference,faithfulness
מה שטח התכנית בדונם?,"['שטח התכנית 15.140 דונם\n1.4', 'מקום התכנית נמצאת בין, רחוב 1185   מדרום ,רחוב המסגר ממזרח ,מגרשC5 מצפון \nומגרש C2  ממערב. תא שטח401  )מגרש מד""א( נמצא בשכונת צהלון ושיכוני \nחיסכון בין הרחובות ארליך מצפון, נתן פנץ ממערב, מבני מגורים מדרום\nורחוב שבטי ישראל ממזרח.\nבנוסף לנאמר לעיל, כלולים בתכנית כתובות: רחוב 1185  -  מספר7  , מספר9, רחוב \n1274  - בית מספר18 , מספר20 , מספר22 , רחוב1278  - בית מספר6 , מספר8, \n מספר10 , מספר11 , מספר12 א, מספר13 , מספר17 , מספר20 , מספר22', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","על פי המידע המופיע בהקשר הנתון, שטח התכנית הוא 15.140 דונם.",15.140,1.0
?כמה יחידות דיור מתוכננות בתכנית,"['השטח המותר בתכנית לשימוש מגורים יהיה עד20%  מסך השטחים הסחירים העל קרקעיים \n26,586   מ""ר ברוטו ובנוסף עד5% -  מסך השטחים הסחירים העל קרקעיים עבור דיור בהישג יד \nסך הכל 6,646. מ""ר ברוטו\nב. דירות בהישג יד שיוקצו להשכרה:\nיחידות הדיור בהישג יד ישולבו כחלק מכלל שימוש המגורים.\nהיחידות עבור דיור בר השגה יהיו לשכירות לתקופת של 20  שנה לכל הפחות. שכר הדירה יהיה \nמפוקח בהתאם למדיניות העירונית בהתאם לתוספת השישית לתיקון 120  לחוק התכנון והבניה \nכפי שיתעדכן מעת לעת. מיקום הדירות, מספרן והתמהיל המפורט יקבע סופית במסגרת תכנית \nהעיצוב על ידי מהנדס העיר או גורם מטעמו. דירות הדיור בהישג יד יורחקו ממטרדים כגון כניסת כלי רכב, אשפה, או כל מטרד אחר שיכול \nלהשפיע על איכות חיי הדיירים.\nתתאפשר המרה של השטחים שהוגדרו לדיור בר השגה, כולם או חלקם, לטובת שימוש למשרדים.\nג. תמהיל יחידות דיור:\nשטח יחידות דיור ממוצע יהיה כ-73', 'עירוני מעורב 4.1\nהתמהיל וגודל יחידות הדיור יקבע סופית על ידי מהנדס העיר או מי מטעמו בעת אישור תכנית \nהעיצוב האדריכלי. פתרון מיגון יינתן בהתאם להחלטת פיקוד העורף. ככל שיותקנו מרחב מוגן קומתי )ממ""ק( \nבמקום מרחב מוגן דירתי )ממ""ד( תותר המרת שטחי השירות העודפים לשטחים עיקריים \nבמסגרת השטחים הכוללים המותרים למגרש 101 .\n.לא יותר איחוד דירות, ייחשב סטייה ניכרת\n8:. שטח מרפסות\nתותר תוספת שטחים מעבר לשטחים המותרים, עבור מרפסות למגורים ולמלונאות.\nשטחה של כל מרפסת בשימוש מגורים לא יעלה על 14  מ""ר,  ושטחן הממוצע הכולל של כל \nהמרפסות למגורים בבניין לא יעלה על 12. מ""ר כפול מספר הדירות בבניין\nשטחה של כל מרפסת בשימוש מלונאות לא יעלה על 8  מ""ר. ושטחן הממוצע הכולל של כל \nהמרפסות למלונאות בבניין לא יעלה על 6  מ""ר כפול מספר היחידות המלונאיות בבניין', 'מ""ר עיקרי\nלפחות 20%   מכלל יחידות הדיור בתכנית תהיינה יחידות דיור קטנות )בשטח עד80.( מ""ר ברוטוב בגוש222  במרחב יצחק שדה וחלקה7077  בגוש59 ,58 ,57  - חלקות4931/ - \n7045']","Based on the given context, the plan does not specify an exact number of housing units (יחידות דיור) planned. However, we can infer some relevant information:

1. The plan allows up to 20% of the total above-ground commercial areas for residential use, which amounts to 26,586 square meters (gross).

2. An additional 5% of the total above-ground commercial areas is allocated for affordable housing, totaling 6,646 square meters (gross).

3. The average size of housing units is stated to be approximately 73 square meters.

4. At least 20% of all housing units in the plan must be small units (up to 80 square meters gross).

While an exact number is not provided, one could estimate the total number of housing units by dividing the total residential area by the average unit size. However, this would be an approximation and not an official figure from the plan.",350,0.9090909090909091
מה שטח התכנית בדונם?,"['שטח התכנית 4.550 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the provided context from the urban planning document (plan number: 507-0797415), the answer to the question is:

שטח התכנית: 4.550 דונם

This means the total area covered by the plan is 4.550 dunams.",4.550,0.6666666666666666
?כמה יחידות דיור מתוכננות בתכנית,"['טבלת זכויות והוראות בניה - מצב מוצע 5.\n \n יעודתאי שטחגודל מגרש\n)מ""ר(שטחי בניה\n)מ""ר(מספר יח""דגובה מבנה- \nמעל הכניסה \nהקובעת\n)מטר(מספר קומות קו בנין\n)מטר(מרפסות-בנוסף \nלשטח העיקרי\n)מ""ר(\nמעל הכניסה הקובעתמתחת לכניסה \nהקובעת\nגודל מגרש \nכלליעיקרישרותשרות מעל הכניסה \nהקובעתמתחת לכניסה \nהקובעתקדמיצידי\nמגורים ג\'4014550)1()1()1(48) 1()1()1()1()1()1(508.8) 2(\n.האמור בטבלה זו גובר, במקרה של סתירה, על הוראות כלליות אחרות, בין בהוראות התכנית ובין בתשריט המצב המוצע\nגם בטבלה עצמה גוברת הוראה מפורטת על הוראה כללית\nשטחי הבניה המפורטים בטבלה שלעיל כוללים את כל שטחי הבניה המירביים בתכנית זו\nהערכים בטבלה מתייחסים לכל תא שטח בנפרד גם אם הוגדר טווח תאי שטח\nהערה ברמת הטבלה:\nהוספת 32  מרפסות חדשות בנות12   מ""ר כל אחת וכן הגדלה של4  - מרפסות קיימות שיוגדלו ב1.2', ""טבלת יעודי קרקע ותאי שטח בתכנית 3.1\nתאי שטח יעוד\n401'מגורים ג""]","Based on the provided context from planning document 507-0797415, the number of housing units (יחידות דיור) planned in this project is:

48 יחידות דיור

This information can be found in the table under the column ""מספר יח""ד"" (number of housing units) for the row designated as ""מגורים ג'"" (residential area type C).",התכנית לא כוללת יחידות דיור,0.8
מה שטח התכנית בדונם?,"['שטח התכנית 11.247 דונם\n1.4', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the provided context from planning document 507-0533273, the answer to the question is:

שטח התכנית: 11.247 דונם

This information is explicitly stated in the first line of the given context.",11.247,0.75
?כמה יחידות דיור מתוכננות בתכנית,[],No answer generated,התכנית לא כוללת יחידות דיור,0.0
מה שטח התכנית בדונם?,"['שטח התכנית 1.158 דונם\n1.3מהדורותשלב מילוי תנאים למתן תוקף\n1.4', 'נתונים כמותיים עיקריים בתכנית 2.3\n1.158 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\n23 23יח""דמגורים )יח""ד(\nכולל הקלה של 6% 1,371+701,301מ""רמגורים )מ""ר(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות', 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","על פי המידע המופיע בתכנית, שטח התכנית הוא 1.158 דונם.",1.158,1.0
?כמה יחידות דיור מתוכננות בתכנית,"['נתונים כמותיים עיקריים בתכנית 2.3\n1.158 שטח התכנית בדונם\nהערותסה""כ מוצע בתוכנית  )+/-(שינוי מצבערךסוג נתון כמותי \nמתארימפורטלמצב המאושר *מאושר*\n23 23יח""דמגורים )יח""ד(\nכולל הקלה של 6% 1,371+701,301מ""רמגורים )מ""ר(\nבכל מקרה של סתירה בין נתוני טבלה זו לנתוני טבלה 5 -זכויות והוראות בניה מצב מוצע-גובר \nהאמור בטבלה 5.\n.* נתונים שניתן להוציא בעבורם היתרים מכוח תכניות מאושרות']","Based on the provided context from planning document 507-0203653, the answer to the question is:

23 יחידות דיור (housing units) are planned in this plan.

This information can be found in the table under the ""סה""כ מוצע בתוכנית"" (Total proposed in the plan) column, in the row for ""מגורים )יח""ד("" (Residential units).",23,0.75
מה שטח התכנית בדונם?,"['שטח התכנית 190.815 דונם\n1.4', "".תחולנה על תכנית זו\n /ב' שכונת מגורים צפונית לגוש הגדול3388/ -"", 'בעלי עניין/ בעלי זכויות בקרקע /עורך התכנית ובעלי מקצוע 1.8']","Based on the provided context from planning document 507-0361915, the answer to the question is:

שטח התכנית: 190.815 דונם

This information is explicitly stated in the first line of the given context.",190.815,0.75
?כמה יחידות דיור מתוכננות בתכנית,"['עיקרי הוראות התכנית 2.2\n1  ,. איחוד וחלוקה ללא הסכמת בעלים לפי פרק ג\' סימן ז\' לחוק התכנון והבניה, תשכ""ח1965.\n2 -. הכללת השטחים המותרים לבניה למגורים מתוקף תכנית ג1  בסך השטחים המותרים למגורים בתכנית באופן\nהבא:\n65% )  משטח קומה טיפוסית ממוצעת בתכנית המאושרת480( מ""ר עיקרי36X : מבנים11,232. מ""ר\nשטח עיקרי מותר בתכנית המאושרת למגורים: 134,040. מ""ר\nסה""כ שטח עיקרי מותר בתכנית למגורים: 145,272. מ""ר\n3 :. הגדלת מספר יח""ד בתכנית באופן הבא\nמספר יח""ד מותרות עפ""י תכנית תא/3388 -\'א1189) 1117/ מתוקף תא3388-א\' ו72 - יח""ד מתוקף תכנית ג1, עפ""י\n2 .( דירות גג לכל בניין בתכנית המאושרת\nהתכנית מגדילה את מספר יח""ד בכ-30%-, ל1530 , עפ""י סעיף62)(א.)א8 ( לחוק כך שהשטח הממוצע ליח""ד בכלל\nהתכנית יעמוד על כ-95. מ""ר\n4 :', 'בניין דרומי: חזית הפונה לכיוון דרום\n    החזית האחורית של המבנה במגרשים 300-302 .: חזית הפונה לכיוון צפון\n    החזית האחורית של המבנה במגרשים 318,320 , בניין צפוני321  בניין צפוני: חזית הפונה לכיוון\nדרום.\n    החזית האחורית של המבנה במגרשים 319 ,320 , בניין דרומי321  בניין דרומי: חזית הפונה\nלכיוון צפון.\n)4  ( קווי בניין צדדיים במגרשים300-302 .: חזית הפונה לכיוון מזרח ולכיוון מערב\n)5 .( חלקו האחורי של המבנה: חלקו הדרום-מזרחי של המבנה\nבינוי  \n1. מספר יח""ד , שטחי בניה ומספר קומות יהיו עפ""י המופיע בטבלה5.\n2. בנוסף לשטח העיקרי המופיע בטבלה5 , תותר בנייה של שטחים לרווחת הדיירים, בקומת\nהקרקע ו/או בקומות המרתף בלבד, בשטח של 5. מ""ר לכל יח""ד בבנין, , עפ""י המופיע בהערה מס\n6  בטבלה5.\n3. בכל מגרש יוקצו25%   מסך יח""ד, לדירות בעלות שטח מקסימלי של77  מ""ר ברוטו )כולל שטח\nהממ""ד(.\n4  -. שטח מינימלי ליח""ד50. מ""ר כולל ממ""ד\n4 -.מרתפים- עפ""י הוראות תכנית  ע1.\n5 -', 'מגוריםמגורים315177660542343 6417)1()1()1()1(756\nמגוריםמגורים316234150071904 5214)1()1()1()1(615\nמגוריםמגורים317191539801611 4412)1()1()1()1(520\nמגוריםמגורים318174836401318 3610)1()1()3()1(426\nמגוריםמגורים319176735201318 3610)1()1()1()1(426\nמגוריםמגורים320290253852050 568)1()1()1()1(662\nמגוריםמגורים321272037591464 406)1()1()1()1(473\nמסחר\nומשרדיםמסחר40028471260315 )2(2)1()1()1()1(\nמסחר\nומשרדיםמשרדים40028472279550 )2(2)1()1()1()1(\nמסחר\nומשרדיםמסחר4012047830210 )2(2)1()1()1()1(\nמסחר\nומשרדיםמשרדים40120471700550 )2(2)1()1()1()1(\nמבנים\nומוסדות\nציבורמבנים\nומוסדות\nציבור5009388281649388)4()4()2()4( )2(\nמבנים\nומוסדות\nציבורמבנים\nומוסדות\nציבור5013630161135371)4()4()2()4( )2(\nמבנים\nומוסדות\nציבורמבנים\nומוסדות\nציבור5027030212917097)4()4()2()4( )2(\nמתקנים\nהנדסייםמתקנים\nהנדסיים70021342000) 5( )2( )1()1()1()1()2(\n.האמור בטבלה זו גובר, במקרה של סתירה, על הוראות כלליות אחרות, בין בהוראות התכנית ובין בתשריט המצב המוצע\nגם בטבלה עצמה גוברת הוראה מפורטת על הוראה כללית\nשטחי הבניה המפורטים בטבלה שלעיל כוללים את כל שטחי הבניה המירביים בתכנית זו\nהערכים בטבלה מתייחסים לכל תא שטח בנפרד גם אם הוגדר טווח תאי שטח\nהוראות טבלה 5:\nא']","Based on the provided context, the plan includes the following regarding housing units:

1. The original number of housing units allowed according to plan TA/3388-A was 1189 (1117 from TA/3388-A and 72 from plan G1).

2. The new plan increases the number of housing units by approximately 30% to 1530 units.

3. This increase is done according to section 62(a)(a8) of the law, resulting in an average area of about 95 square meters per housing unit across the entire plan.

In summary, the plan proposes a total of 1530 housing units.",1530,1.0
